2025-08-14 01:33:03 - TRADE | SELL | market-1 | reaction=0ms | execution=1270ms | total=1270ms | grade=B | roi_v2=27.0%
2025-08-14 01:33:03 - TRADE | SELL | market-1 | reaction=0ms | execution=1277ms | total=1277ms | grade=B | roi_v2=27.9%
2025-08-14 01:33:03 - TRADE | SELL | market-1 | reaction=0ms | execution=1277ms | total=1277ms | grade=B | roi_v2=27.0%
2025-08-14 01:33:03 - TRADE | SELL | market-2 | reaction=0ms | execution=1278ms | total=1278ms | grade=B | roi_v2=27.9%
2025-08-14 01:33:03 - TRADE | SELL | market-2 | reaction=0ms | execution=1277ms | total=1277ms | grade=B | roi_v2=27.9%
2025-08-14 01:33:03 - TRADE | SELL | market-2 | reaction=0ms | execution=1280ms | total=1280ms | grade=B | roi_v2=27.9%
2025-08-14 01:33:03 - TRADE | SELL | market-2 | reaction=0ms | execution=1283ms | total=1283ms | grade=B | roi_v2=27.9%
2025-08-14 01:33:03 - TRADE | SELL | market-2 | reaction=0ms | execution=1280ms | total=1280ms | grade=B | roi_v2=27.9%
2025-08-14 01:33:03 - TRADE | SELL | market-2 | reaction=0ms | execution=1282ms | total=1282ms | grade=B | roi_v2=27.9%
2025-08-14 01:33:03 - TRADE | BUY | market-2 | reaction=0ms | execution=1256ms | total=1256ms | grade=B | roi_v2=38.6%
2025-08-14 01:33:03 - TRADE | SELL | market-2 | reaction=0ms | execution=1282ms | total=1282ms | grade=B | roi_v2=27.9%
2025-08-14 01:33:03 - TRADE | SELL | market-3 | reaction=0ms | execution=1253ms | total=1253ms | grade=B | roi_v2=20.0%
2025-08-14 01:33:03 - TRADE | SELL | market-3 | reaction=0ms | execution=1255ms | total=1255ms | grade=B | roi_v2=20.0%
2025-08-14 01:33:03 - TRADE | SELL | market-3 | reaction=0ms | execution=1251ms | total=1251ms | grade=B | roi_v2=20.0%
2025-08-14 01:33:03 - TRADE | SELL | market-3 | reaction=0ms | execution=1255ms | total=1255ms | grade=B | roi_v2=20.0%
2025-08-14 01:33:03 - TRADE | SELL | market-3 | reaction=0ms | execution=1256ms | total=1256ms | grade=B | roi_v2=20.0%
2025-08-14 01:33:03 - TRADE | SELL | market-3 | reaction=0ms | execution=1000ms | total=1000ms | grade=B | roi_v2=38.5%
2025-08-14 01:33:03 - TRADE | SELL | market-3 | reaction=0ms | execution=1265ms | total=1265ms | grade=B | roi_v2=20.0%
2025-08-14 03:33:46,278 - TRADE | BUY | 502517 | reaction=21ms | execution=1189ms | total=1210ms | grade=B | roi_v2=1.6%
2025-08-14 03:33:46,278 - TRADE | BUY | 502517 | reaction=21ms | execution=1189ms | total=1210ms | grade=B | roi_v2=1.6%
2025-08-14 03:33:46,278 - TRADE | BUY | 516706 | reaction=12ms | execution=1306ms | total=1319ms | grade=B | roi_v2=33.3%
2025-08-14 03:33:46,278 - TRADE | SELL | 516710 | reaction=11ms | execution=1036ms | total=1046ms | grade=B | roi_v2=54.1%
2025-08-14 03:33:46,278 - TRADE | SELL | 516710 | reaction=11ms | execution=1039ms | total=1050ms | grade=B | roi_v2=55.2%
2025-08-14 03:33:46,278 - TRADE | SELL | 516710 | reaction=11ms | execution=1273ms | total=1284ms | grade=B | roi_v2=27.0%
2025-08-14 03:33:46,278 - TRADE | BUY | 516711 | reaction=11ms | execution=1328ms | total=1339ms | grade=B | roi_v2=25.4%
2025-08-14 03:33:46,279 - TRADE | SELL | 516712 | reaction=11ms | execution=1273ms | total=1283ms | grade=B | roi_v2=20.0%
2025-08-14 03:33:46,279 - TRADE | SELL | 516712 | reaction=11ms | execution=1019ms | total=1030ms | grade=B | roi_v2=47.5%
2025-08-14 03:33:46,279 - TRADE | SELL | 516712 | reaction=11ms | execution=1275ms | total=1285ms | grade=B | roi_v2=20.0%
2025-08-14 03:33:46,279 - TRADE | BUY | 516712 | reaction=11ms | execution=1284ms | total=1295ms | grade=B | roi_v2=38.6%
2025-08-14 03:33:46,279 - TRADE | SELL | 516712 | reaction=11ms | execution=1025ms | total=1036ms | grade=B | roi_v2=47.5%
2025-08-14 03:33:46,279 - TRADE | SELL | 516712 | reaction=11ms | execution=1019ms | total=1030ms | grade=B | roi_v2=47.5%
2025-08-14 03:33:46,279 - TRADE | SELL | 516712 | reaction=11ms | execution=1019ms | total=1030ms | grade=B | roi_v2=47.5%
2025-08-14 03:33:46,279 - TRADE | SELL | 516713 | reaction=10ms | execution=1275ms | total=1285ms | grade=B | roi_v2=20.9%
2025-08-14 03:33:46,279 - TRADE | SELL | 516713 | reaction=10ms | execution=1022ms | total=1032ms | grade=B | roi_v2=48.6%
2025-08-14 03:33:46,279 - TRADE | SELL | 516713 | reaction=10ms | execution=1277ms | total=1287ms | grade=B | roi_v2=20.9%
2025-08-14 03:33:46,279 - TRADE | BUY | 516713 | reaction=10ms | execution=1288ms | total=1297ms | grade=B | roi_v2=37.3%
2025-08-14 03:33:46,279 - TRADE | SELL | 516713 | reaction=10ms | execution=1028ms | total=1038ms | grade=B | roi_v2=48.6%
2025-08-14 03:33:46,279 - TRADE | SELL | 516713 | reaction=10ms | execution=1022ms | total=1032ms | grade=B | roi_v2=48.6%
2025-08-14 03:33:46,279 - TRADE | SELL | 516713 | reaction=10ms | execution=1022ms | total=1032ms | grade=B | roi_v2=48.6%
2025-08-14 03:33:46,279 - TRADE | SELL | 516717 | reaction=10ms | execution=1285ms | total=1294ms | grade=B | roi_v2=24.4%
2025-08-14 03:33:46,279 - TRADE | SELL | 516717 | reaction=10ms | execution=1034ms | total=1044ms | grade=B | roi_v2=53.0%
2025-08-14 03:33:46,279 - TRADE | SELL | 516717 | reaction=10ms | execution=1287ms | total=1296ms | grade=B | roi_v2=24.4%
2025-08-14 03:33:46,279 - TRADE | BUY | 516717 | reaction=10ms | execution=1302ms | total=1312ms | grade=B | roi_v2=32.0%
2025-08-14 03:33:46,279 - TRADE | SELL | 516717 | reaction=10ms | execution=1040ms | total=1050ms | grade=B | roi_v2=53.0%
2025-08-14 03:33:46,279 - TRADE | SELL | 516717 | reaction=10ms | execution=1034ms | total=1044ms | grade=B | roi_v2=53.0%
2025-08-14 03:33:46,279 - TRADE | SELL | 516717 | reaction=10ms | execution=1034ms | total=1044ms | grade=B | roi_v2=53.0%
2025-08-14 03:33:46,279 - TRADE | SELL | 516719 | reaction=10ms | execution=1289ms | total=1299ms | grade=B | roi_v2=26.2%
2025-08-14 03:33:46,279 - TRADE | SELL | 516719 | reaction=10ms | execution=1040ms | total=1050ms | grade=B | roi_v2=55.2%
2025-08-14 03:33:46,279 - TRADE | SELL | 516719 | reaction=10ms | execution=1291ms | total=1301ms | grade=B | roi_v2=26.2%
2025-08-14 03:33:46,279 - TRADE | BUY | 516719 | reaction=10ms | execution=1309ms | total=1319ms | grade=B | roi_v2=29.4%
2025-08-14 03:33:46,279 - TRADE | SELL | 516719 | reaction=10ms | execution=1046ms | total=1056ms | grade=B | roi_v2=55.2%
2025-08-14 03:33:46,279 - TRADE | SELL | 516719 | reaction=10ms | execution=1040ms | total=1050ms | grade=B | roi_v2=55.2%
2025-08-14 03:33:46,279 - TRADE | SELL | 516719 | reaction=10ms | execution=1040ms | total=1050ms | grade=B | roi_v2=55.2%
2025-08-14 03:33:46,279 - TRADE | BUY | 516723 | reaction=8ms | execution=1303ms | total=1311ms | grade=B | roi_v2=34.6%
2025-08-14 03:33:46,279 - TRADE | BUY | 516724 | reaction=7ms | execution=1306ms | total=1314ms | grade=B | roi_v2=33.3%
2025-08-14 03:33:46,279 - TRADE | BUY | 516725 | reaction=6ms | execution=1310ms | total=1316ms | grade=B | roi_v2=32.0%
2025-08-14 03:33:46,279 - TRADE | BUY | 516726 | reaction=5ms | execution=1314ms | total=1318ms | grade=B | roi_v2=30.7%
2025-08-14 03:33:46,279 - TRADE | BUY | 516727 | reaction=4ms | execution=1317ms | total=1321ms | grade=B | roi_v2=29.4%
2025-08-14 03:33:46,279 - TRADE | BUY | 516728 | reaction=3ms | execution=1321ms | total=1323ms | grade=B | roi_v2=28.0%
2025-08-14 03:33:46,280 - TRADE | BUY | 516729 | reaction=1ms | execution=1324ms | total=1326ms | grade=B | roi_v2=26.7%
2025-08-14 01:41:53 - TRADE | SELL | 502517 | reaction=0ms | execution=1290ms | total=1290ms | grade=B | roi_v2=27.0%
2025-08-14 01:41:53 - TRADE | SELL | 502517 | reaction=0ms | execution=1057ms | total=1057ms | grade=B | roi_v2=57.4%
2025-08-14 01:41:53 - TRADE | SELL | 502517 | reaction=0ms | execution=1285ms | total=1285ms | grade=B | roi_v2=27.0%
2025-08-14 01:41:53 - TRADE | SELL | 502517 | reaction=0ms | execution=1283ms | total=1283ms | grade=B | roi_v2=27.0%
2025-08-14 01:41:53 - TRADE | SELL | 502517 | reaction=0ms | execution=1284ms | total=1284ms | grade=B | roi_v2=27.0%
2025-08-14 01:41:53 - TRADE | SELL | 516706 | reaction=0ms | execution=1276ms | total=1276ms | grade=B | roi_v2=22.6%
2025-08-14 01:41:53 - TRADE | BUY | 516706 | reaction=0ms | execution=1298ms | total=1298ms | grade=B | roi_v2=33.3%
2025-08-14 01:41:53 - TRADE | SELL | 516706 | reaction=0ms | execution=1281ms | total=1281ms | grade=B | roi_v2=22.6%
2025-08-14 01:41:53 - TRADE | SELL | 516706 | reaction=0ms | execution=1278ms | total=1278ms | grade=B | roi_v2=22.6%
2025-08-14 01:41:53 - TRADE | SELL | 516706 | reaction=0ms | execution=1282ms | total=1282ms | grade=B | roi_v2=22.6%
